stimulus_presentations_id,stimulus_block,stimulus_block_name,image_index,image_name,movie_frame_index,duration,start_time,end_time,start_frame,end_frame,is_change,is_image_novel,omitted,movie_repeat,flashes_since_change,trials_id,is_sham_change,active,stimulus_name
30,1,change_detection_behavior,5,im062,-99,0.2502499999999941,328.50536783111113,328.7556178311111,19288,19303,False,False,False,-99,9,4,False,True,Natural_Images_Lum_Matched_set_training_2017
31,1,change_detection_behavior,5,im062,-99,0.2500800000000254,329.2560778311111,329.5061578311111,19333,19348,False,False,False,-99,10,4,False,True,Natural_Images_Lum_Matched_set_training_2017
32,1,change_detection_behavior,5,im062,-99,0.25020000000000664,330.0065978311111,330.2567978311111,19378,19393,False,False,False,-99,11,4,False,True,Natural_Images_Lum_Matched_set_training_2017
33,1,change_detection_behavior,5,im062,-99,0.25022999999998774,330.7571778311111,331.0074078311111,19423,19438,False,False,False,-99,12,4,False,True,Natural_Images_Lum_Matched_set_training_2017
34,1,change_detection_behavior,5,im062,-99,0.2501800000000003,331.5079278311111,331.7581078311111,19468,19483,False,False,False,-99,13,5,False,True,Natural_Images_Lum_Matched_set_training_2017
35,1,change_detection_behavior,5,im062,-99,0.2502099999999814,332.25844783111114,332.5086578311111,19513,19528,False,False,False,-99,14,6,False,True,Natural_Images_Lum_Matched_set_training_2017
36,1,change_detection_behavior,5,im062,-99,0.2504500000000007,333.0090178311111,333.2594678311111,19558,19573,False,False,False,-99,15,6,False,True,Natural_Images_Lum_Matched_set_training_2017
37,1,change_detection_behavior,5,im062,-99,0.250220000000013,333.7597378311111,334.00995783111114,19603,19618,False,False,False,-99,16,6,False,True,Natural_Images_Lum_Matched_set_training_2017
38,1,change_detection_behavior,8,omitted,-99,0.25,334.5102678311111,334.7602678311111,19648,19663,False,,True,-99,16,6,False,True,Natural_Images_Lum_Matched_set_training_2017
39,1,change_detection_behavior,5,im062,-99,0.2501100000000065,335.2609778311111,335.5110878311111,19693,19708,False,False,False,-99,17,6,False,True,Natural_Images_Lum_Matched_set_training_2017
40,1,change_detection_behavior,5,im062,-99,0.25031000000001313,336.0115078311111,336.2618178311111,19738,19753,False,False,False,-99,18,7,False,True,Natural_Images_Lum_Matched_set_training_2017
41,1,change_detection_behavior,5,im062,-99,0.25020000000000664,336.7620878311111,337.0122878311111,19783,19798,False,False,False,-99,19,7,False,True,Natural_Images_Lum_Matched_set_training_2017
42,1,change_detection_behavior,5,im062,-99,0.2502099999999814,337.5126878311111,337.7628978311111,19828,19843,False,False,False,-99,20,7,False,True,Natural_Images_Lum_Matched_set_training_2017
43,1,change_detection_behavior,5,im062,-99,0.250220000000013,338.2633078311111,338.5135278311111,19873,19888,False,False,False,-99,21,7,False,True,Natural_Images_Lum_Matched_set_training_2017
44,1,change_detection_behavior,5,im062,-99,0.250220000000013,339.0139378311111,339.2641578311111,19918,19933,False,False,False,-99,22,7,False,True,Natural_Images_Lum_Matched_set_training_2017
45,1,change_detection_behavior,5,im062,-99,0.2500599999999622,339.76468783111113,340.0147478311111,19963,19978,False,False,False,-99,23,7,False,True,Natural_Images_Lum_Matched_set_training_2017
46,1,change_detection_behavior,0,im065,-99,0.2503199999999879,340.5151678311111,340.7654878311111,20008,20023,True,False,False,-99,0,7,False,True,Natural_Images_Lum_Matched_set_training_2017
47,1,change_detection_behavior,0,im065,-99,0.2502099999999814,341.2657478311111,341.5159578311111,20053,20068,False,False,False,-99,1,7,False,True,Natural_Images_Lum_Matched_set_training_2017
