id,imaging_depth,targeted_structure,cre_line,reporter_line,donor_name,specimen_name,tags,failed
570278595,350,VISp,Nr5a1-Cre,Ai93(TITL-GCaMP6f),286360,Nr5a1-Cre;Camk2a-tTA;Ai93-286360,[],False
863992815,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),448900,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-448900,[],False
597028936,375,VISl,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),315123,Sst-IRES-Cre;Ai148(CAM)-315123,[],False
610222464,375,VISl,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),324180,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-324180,[],False
569251675,275,VISam,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),284417,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-284417,[],False
930022332,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),459777,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-459777,[],False
560753319,175,VISal,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),280639,Emx1-IRES-Cre;Camk2a-tTA;Ai93-280639,[],False
653126875,175,VISpm,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),355474,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355474,[],False
590168381,275,VISp,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),305467,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-305467,[],False
686449090,175,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),379345,Vip-IRES-Cre;Ai148-379345,[],False
570428250,350,VISrl,Nr5a1-Cre,Ai93(TITL-GCaMP6f),286366,Nr5a1-Cre;Camk2a-tTA;Ai93-286366,[],False
601805377,375,VISl,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),316777,Sst-IRES-Cre;Ai148(CAM)-316777,[],False
554219902,350,VISl,Nr5a1-Cre,Ai93(TITL-GCaMP6f),271729,Nr5a1-Cre;Camk2a-tTA;Ai93-271729,[],False
